Save Bit,FC State,Time,Pre-converted Accel X,Pre-converted Accel Y,Pre-converted Accel Z,Pre-converted Gyro X,Pre-converted Gyro Y,Pre-converted Gyro Z,Pre-converted Magnetometer X,Pre-converted Magnetometer Y,Pre-converted Magnetometer Z,Barometric Pressure,Barometric Temperature,Unit Quaternion W,Unit Quaternion X,Unit Quaternion Y,Unit Quaternion Z,Roll Body Rate,Velocity,Velo X,Velo Y,Velo Z,Barometric Altitude,GPS Altitude (ft),GPS Speed (KmH),GPS UTC Time,GPS Longitude (deg),GPS Latitude (deg),GPS North/South,GPS East/West,GPS GLL Status,GPS RMC Status,Canard Feedback
1,3,0.0000,-0.1531,0.1196,9.9963,-12.7779,-8.0659,-14.4411,-1.2264,1.6980,-58.5643,97080.5391,31.9676,0.6181,-0.2287,-0.6905,-0.2980,-14.4411,0.0000,0.0000,0.0000,0.0000,383.8098,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.0000,0.0287,0.0383,9.7332,16.8856,-11.4839,11.1940,-1.2264,1.9182,-61.7970,97077.2109,32.0449,0.6183,-0.2306,-0.6919,-0.2927,11.1940,0.0000,0.0000,0.0000,0.0000,384.2157,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.0310,-0.1962,-0.1196,9.9006,-5.2094,-1.9623,5.5787,-1.3207,2.0125,-58.5932,97078.8516,31.9452,0.6232,-0.2192,-0.6967,-0.2795,5.5787,0.0000,0.0000,0.0000,0.0000,383.9380,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.0630,-0.0335,-0.0766,9.9198,6.0212,-6.4790,17.4807,-1.2893,1.8238,-60.8157,97075.9062,31.9361,0.6286,-0.2080,-0.7017,-0.2632,17.4807,0.0000,0.0000,0.0000,0.0000,384.1991,0.0000,2.6000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.0840,0.0526,0.1436,9.6614,2.0539,6.3996,-18.4085,-1.3521,2.0439,-58.4489,97074.9609,31.9873,0.6282,-0.2091,-0.6998,-0.2683,-18.4085,0.0000,0.0000,0.0000,0.0000,384.3521,0.0000,3.2000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.1060,0.0670,0.1340,9.6040,-14.5480,-9.9580,3.1983,-1.1006,1.8867,-59.0550,97080.8750,32.0811,0.6258,-0.2159,-0.6984,-0.2719,3.1983,0.0000,0.0000,0.0000,0.0000,383.9207,0.0000,3.2000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.1350,-0.0431,0.1627,9.8719,8.5237,-11.7891,6.1891,-1.1635,2.0125,-58.8530,97078.8828,31.9524,0.6226,-0.2242,-0.6974,-0.2751,6.1891,0.0000,0.0000,0.0000,0.0000,383.9441,0.0000,3.2000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.1660,0.0622,-0.1914,9.8528,-7.7729,12.1981,-8.5206,-1.4150,1.8238,-59.6034,97079.1875,31.9064,0.6286,-0.2120,-0.6989,-0.2674,-8.5206,0.0000,0.0000,0.0000,0.0000,383.8573,0.0000,3.2000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.1980,0.1627,0.0479,9.9628,15.4818,-0.3143,-14.5632,-1.1006,1.8553,-58.3623,97076.3125,31.9850,0.6302,-0.2046,-0.7011,-0.2637,-14.5632,0.0000,0.0000,0.0000,0.0000,384.2236,0.0000,3.2000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.2290,-0.0909,-0.0861,9.6135,6.3264,9.8177,-14.4411,-1.3836,1.8238,-58.4200,97072.8594,32.0405,0.6359,-0.1868,-0.7052,-0.2517,-14.4411,0.0000,0.0000,0.0000,0.0000,384.6135,0.0000,3.2000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.2570,-0.0957,-0.1866,9.8815,1.3214,-10.4463,-14.0749,-1.2578,1.9182,-61.4218,97077.3359,31.9148,0.6375,-0.1713,-0.7118,-0.2400,-14.0749,0.0000,0.0000,0.0000,0.0000,384.0397,0.0000,3.2000,134732.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.2880,-0.1436,-0.0861,9.9294,8.6458,9.2073,-12.4880,-1.3207,1.9496,-59.5745,97078.3359,32.0336,0.6429,-0.1530,-0.7153,-0.2272,-12.4880,0.0000,0.0000,0.0000,0.0000,384.0966,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.3180,0.0431,0.0287,9.6279,-1.1200,-1.6571,-13.2204,-1.2264,2.0754,-61.9702,97074.8984,32.0491,0.6424,-0.1518,-0.7154,-0.2292,-13.2204,0.0000,0.0000,0.0000,0.0000,384.4351,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.3500,-0.0718,-0.0048,9.9294,-12.8389,21.2314,2.5269,-1.4465,1.6980,-60.5848,97076.3594,31.9687,0.6497,-0.1393,-0.7146,-0.2188,2.5269,0.0000,0.0000,0.0000,0.0000,384.1990,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.3810,0.1053,-0.0526,9.6709,-17.1115,-2.7558,11.4382,-1.1320,1.7609,-58.6509,97075.7188,32.0778,0.6516,-0.1389,-0.7147,-0.2129,11.4382,0.0000,0.0000,0.0000,0.0000,384.3951,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.4130,0.1101,0.0766,9.8576,12.9183,-8.5542,17.0535,-1.1320,1.9811,-61.4795,97079.6953,31.9945,0.6520,-0.1419,-0.7155,-0.2069,17.0535,0.0000,0.0000,0.0000,0.0000,383.9218,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.4440,-0.0335,-0.0574,9.9581,-16.5011,-7.5776,-0.7080,-1.2264,1.8867,-58.4777,97079.3984,32.0246,0.6534,-0.1318,-0.7191,-0.1964,-0.7080,0.0000,0.0000,0.0000,0.0000,383.9865,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.4750,0.0335,0.1531,9.7762,9.0120,6.8879,-10.4128,-1.3836,1.8238,-58.2757,97081.2656,31.9670,0.6539,-0.1344,-0.7167,-0.2020,-10.4128,0.0000,0.0000,0.0000,0.0000,383.7413,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.5070,-0.1914,-0.0383,9.6614,-10.4585,-12.6436,-18.9578,-1.4150,1.9811,-61.1332,97073.0781,32.0955,0.6532,-0.1190,-0.7224,-0.1932,-18.9578,0.0000,0.0000,0.0000,0.0000,384.6622,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.5380,-0.1579,0.0383,9.6518,-15.0973,9.5125,7.3487,-1.3836,1.6980,-59.6323,97077.4766,31.9250,0.6520,-0.1360,-0.7164,-0.2078,7.3487,0.0000,0.0000,0.0000,0.0000,384.0402,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.5680,0.0479,0.1723,9.6662,14.4442,15.7992,6.0670,-1.3207,2.0754,-59.7477,97078.5469,32.0325,0.6552,-0.1399,-0.7122,-0.2093,6.0670,0.0000,0.0000,0.0000,0.0000,384.0757,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.5990,-0.0861,-0.1914,9.9294,14.9935,14.5785,-2.7222,-1.1320,1.7609,-59.6900,97077.0391,31.9269,0.6618,-0.1230,-0.7136,-0.1942,-2.7222,0.0000,0.0000,0.0000,0.0000,384.0826,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.6300,0.0144,0.1244,9.7810,1.2604,15.9213,-5.7740,-1.3207,1.7609,-60.8157,97081.5859,31.9548,0.6637,-0.1281,-0.7089,-0.2015,-5.7740,0.0000,0.0000,0.0000,0.0000,383.6960,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
1,3,0.6610,0.0909,0.0144,9.6231,-2.0356,-5.6245,-6.9337,-1.1949,1.7609,-61.7393,97079.8594,32.0683,0.6628,-0.1259,-0.7104,-0.2004,-6.9337,0.0000,0.0000,0.0000,0.0000,383.9993,0.0000,3.2000,134733.0000,12.5216,55.6721,b'N',b'E',b'\x00',b'A',0.0000
