Save Bit,FC State,Time,Pre-converted Accel X,Pre-converted Accel Y,Pre-converted Accel Z,Pre-converted Gyro X,Pre-converted Gyro Y,Pre-converted Gyro Z,Pre-converted Magnetometer X,Pre-converted Magnetometer Y,Pre-converted Magnetometer Z,Barometric Pressure,Barometric Temperature,Unit Quaternion W,Unit Quaternion X,Unit Quaternion Y,Unit Quaternion Z,Roll Body Rate,Velocity,Velo X,Velo Y,Velo Z,Barometric Altitude,GPS Altitude (ft),GPS Speed (KmH),GPS UTC Time,GPS Longitude (deg),GPS Latitude (deg),GPS North/South,GPS East/West,GPS GLL Status,GPS RMC Status,Canard Feedback
1.0,3.0,0.0,0.0366,-0.0583,14.6354,0.0292,-0.0092,0.0109,0.0258,-0.0333,0.0314,101325.0,30.0,0.3827,0.0,0.0,0.9239,0.0016,26.8246,18.9663,-18.9663,0.3464,0.0,0.0,96.5687,120000.000,-113.1389,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.05,-0.1248,0.0504,14.9423,0.0014,-0.0266,-0.0201,0.0153,0.0202,-0.0034,101324.7919,29.9999,0.3827,0.0,0.0,0.9239,0.0024,26.8269,18.9663,-18.9663,0.4899,0.0568,0.0568,96.5767,120000.050,-113.1389,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.1,0.0901,-0.0123,15.3991,0.0161,0.0395,-0.0284,-0.0139,-0.0018,-0.0265,101324.4114,29.9997,0.3827,0.0,0.0,0.9239,-0.0056,26.8322,18.9663,-18.9663,0.7269,0.1607,0.1607,96.5961,120000.100,-113.1389,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.15,0.1129,-0.0781,15.7924,-0.033,-0.0121,-0.0038,0.0008,0.0158,0.0133,101323.9187,29.9994,0.3827,0.0,0.0,0.9239,-0.0014,26.8374,18.9663,-18.9663,0.8958,0.2953,0.2953,96.6145,120000.150,-113.1389,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.2,-0.2341,-0.0809,16.622,0.0294,-0.0114,0.0082,-0.006,0.0138,0.0156,101323.3353,29.9991,0.3827,0.0,0.0,0.9239,0.0216,26.8424,18.9663,-18.9663,1.0366,0.4546,0.4546,96.6327,120000.200,-113.1389,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.25,-0.1563,-0.0855,17.0918,0.0157,-0.0013,-0.0328,-0.0226,-0.0155,0.0314,101322.6735,29.9987,0.3827,0.0,0.0,0.9239,0.0212,26.8475,18.9663,-18.9663,1.16,0.6354,0.6354,96.6509,120000.250,-113.1389,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.3,0.0153,-0.1055,17.3829,-0.0008,0.0013,0.0141,0.0036,-0.0183,0.0256,101321.9417,29.9983,0.3827,0.0,0.0,0.9239,-0.0105,26.8525,18.9663,-18.9663,1.2714,0.8352,0.8352,96.6691,120000.300,-113.1389,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.35,-0.0379,0.2738,18.2783,0.0129,-0.0077,0.0153,-0.0083,0.0131,0.0389,101321.1462,29.9979,0.3827,0.0,0.0,0.9239,-0.0091,26.8576,18.9663,-18.9663,1.3737,1.0525,1.0525,96.6872,120000.350,-113.1388,33.8221,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.4,-0.002,0.0357,18.8685,-0.0153,-0.0003,0.0009,-0.0191,-0.0061,0.0124,101320.2916,29.9975,0.3827,0.0,0.0,0.9239,-0.0106,26.8626,18.9663,-18.9663,1.4688,1.2859,1.2859,96.7053,120000.400,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
1.0,3.0,0.45,-0.1024,0.1064,19.9084,-0.0116,-0.0008,-0.0174,-0.0296,0.0187,0.0046,101319.3818,29.997,0.3827,0.0,0.0,0.9239,0.0106,26.8676,18.9663,-18.9663,1.5581,1.5344,1.5344,96.7234,120000.450,-113.1388,33.822,b'N',b'W',b'\x00',b'A',0.0
